id;id_doi;status;count
353;39;Student  > Doctoral Student;2
354;39;Researcher;1
355;39;Professor;1
356;39;Student  > Postgraduate;1
357;39;Unspecified;1
358;39;Student  > Master;5
359;39;Student  > Bachelor;1
360;39;Student  > Ph. D. Student;6
361;39;Professor > Associate Professor;1
362;40;Lecturer;22
363;40;Student  > Doctoral Student;98
364;40;Researcher;52
365;40;Professor;29
366;40;Lecturer > Senior Lecturer;9
367;40;Student  > Postgraduate;29
368;40;Unspecified;41
369;40;Student  > Master;136
371;40;Other;14
372;40;Student  > Ph. D. Student;190
373;40;Professor > Associate Professor;40
374;41;Lecturer;1
375;42;Lecturer;5
376;42;Student  > Doctoral Student;6
377;42;Researcher;4
378;42;Professor;4
379;42;Student  > Postgraduate;1
380;42;Unspecified;7
381;42;Student  > Master;7
382;42;Student  > Bachelor;1
383;42;Student  > Ph. D. Student;31
384;42;Professor > Associate Professor;5
385;43;Lecturer;2
386;43;Student  > Doctoral Student;10
387;43;Researcher;8
388;43;Professor;4
389;43;Student  > Postgraduate;2
390;43;Unspecified;2
391;43;Student  > Master;4
392;43;Student  > Bachelor;1
393;43;Other;5
394;43;Student  > Ph. D. Student;21
395;43;Professor > Associate Professor;5
396;44;Lecturer;4
397;44;Student  > Doctoral Student;6
398;44;Researcher;3
399;44;Professor;2
400;44;Lecturer > Senior Lecturer;1
401;44;Student  > Postgraduate;1
402;44;Unspecified;4
403;44;Student  > Master;5
404;44;Student  > Bachelor;3
405;44;Student  > Ph. D. Student;22
406;44;Professor > Associate Professor;5
407;45;Lecturer;13
408;45;Student  > Doctoral Student;46
409;45;Researcher;26
410;45;Professor;23
411;45;Lecturer > Senior Lecturer;7
412;45;Student  > Postgraduate;7
413;45;Unspecified;15
414;45;Student  > Master;47
415;45;Student  > Bachelor;9
416;45;Other;3
417;45;Student  > Ph. D. Student;110
418;45;Professor > Associate Professor;38
419;46;Lecturer;2
420;46;Student  > Doctoral Student;12
421;46;Researcher;4
422;46;Professor;8
423;46;Lecturer > Senior Lecturer;1
424;46;Student  > Postgraduate;2
425;46;Unspecified;10
426;46;Student  > Master;11
427;46;Student  > Bachelor;4
428;46;Other;2
429;46;Student  > Ph. D. Student;38
430;46;Professor > Associate Professor;15
431;47;Lecturer;5
432;47;Student  > Doctoral Student;17
433;47;Researcher;9
434;47;Professor;7
435;47;Student  > Postgraduate;4
436;47;Unspecified;16
437;47;Student  > Master;15
438;47;Student  > Bachelor;5
439;47;Other;2
440;47;Student  > Ph. D. Student;33
441;47;Professor > Associate Professor;6
442;48;Lecturer;12
