RePEc:erv:cedced;2017;;null;null;20;;ReDIF-Article;1989-4155;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:coccss;2017;;null;null;246;1;ReDIF-Article;1988-5245;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:contri;2017;;null;null;30;2;ReDIF-Article;1696-8360;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:deloso;2017;;null;null;46;;ReDIF-Article;1988-5245;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:eaeaea;2017;;null;null;0;;ReDIF-Article;1989-5526;1657-5776;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:histor;2017;;null;null;0;;ReDIF-Article;2173-0822;2386-6039;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:obschi;2017;;null;null;0;1;ReDIF-Article;1887-3197;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:observ;2017;;null;null;316;3;ReDIF-Article;1696-8352;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:obsjap;2017;;null;null;34;1;ReDIF-Article;1988-5229;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:oidles;2017;;null;null;0;1;ReDIF-Article;1988-2483;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:pozpoz;2017;;null;null;0;;ReDIF-Article;2340-0048;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:rccsrc;2017;;null;null;216;1;ReDIF-Article;2254-7630;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:rcdcpp;2017;;null;null;0;;ReDIF-Article;2341-3956;2387-1873;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:rednma;2017;;null;null;15;;ReDIF-Article;1130-2127;2386-8902;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:rehipi;2017;;null;null;26;;ReDIF-Article;2174-0135;2386-6926;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:riipac;2017;;null;null;0;;ReDIF-Article;2255-1565;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:sgsgsg;2017;;null;null;0;1;ReDIF-Article;1889-3981;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:tecsis;2017;;null;null;0;;ReDIF-Article;1886-8452;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:tectza;2017;;null;null;7;;ReDIF-Article;2444-4944;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:tlatem;2017;;null;null;0;1;ReDIF-Article;1989-9300;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:erv:turdes;2017;1;null;null;66;1;ReDIF-Article;1988-5261;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:fat:fejeps;2017;;null;null;0;2;ReDIF-Article;1307-6000;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:fej:artcal;2017;;null;null;0;1;ReDIF-Article;2221-867X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:fej:articl;2017;4;null;0.04;0;4;ReDIF-Article;2219-5440;2221-8017;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:foj:journl;2017;;null;null;16;1;ReDIF-Article;1842-256X;2559-3706;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:gig:chaktu;2017;1;null;0.01;0;4;ReDIF-Article;0341-6631;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:gig:soaktu;2017;2;null;0.03;0;3;ReDIF-Article;0722-8821;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:gpr:journl;2017;;null;null;13;;ReDIF-Article;2464-9929;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:hmm:journl;2017;1;null;0.01;16;1;ReDIF-Article;2247-1189;2247-1197;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:hrs:jrnggg;2017;;null;null;3;;ReDIF-Article;2241-6927;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:hrs:jrnicr;2017;;null;null;6;1;ReDIF-Article;1791-7743;1791-7417;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:hrs:jrnkpe;2017;;null;null;7;;ReDIF-Article;1791-7727;1791-7719;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:hrs:jrnzrw;2017;;null;null;4;;ReDIF-Article;1792-8087;1792-8060;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:hyp:journl;2017;6;0.03;0.06;22;2;ReDIF-Article;2343-7995;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:iab:iabmit;2017;;null;null;0;4;ReDIF-Article;0340-3254;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ibl:journl;2017;;null;null;0;1;ReDIF-Article;1512-3731;2233-3002;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ieu:journl;2017;;null;null;0;3;ReDIF-Article;1646-1223;2182-5114;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ila:anaeco;2017;6;1;0.21;0;8;ReDIF-Article;0716-5297;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
